Nome,DOB,Fighter_URL
Travis Fulton,1977-05-29,http://ufcstats.com/fighter-details/911fb265462f0d94
Dan Severn,1958-06-08,http://ufcstats.com/fighter-details/c670aa48827d6be6
Jeremy Horn,1975-08-25,http://ufcstats.com/fighter-details/8d26912cd2aeb366
Travis Wiuff,1978-03-15,http://ufcstats.com/fighter-details/7f9f528cb72a6ed1
Luis Santos,1980-01-02,http://ufcstats.com/fighter-details/7701377be464d2ef
Aleksei Oleinik,1977-06-20,http://ufcstats.com/fighter-details/98c23cb6da5b3352
Ikuhisa Minowa,1976-01-12,http://ufcstats.com/fighter-details/ce6065baef021cf3
Jeff Monson,1971-01-18,http://ufcstats.com/fighter-details/cbfd1d34356a004c
Yuki Kondo,1975-07-17,http://ufcstats.com/fighter-details/1fe7adb23b3eedfb
Adrian Serrano,1963-12-23,http://ufcstats.com/fighter-details/e7ec11096eac0282
Alexander Shlemenko,1984-05-20,http://ufcstats.com/fighter-details/ed3ea649b34ddb6c
Shannon Ritch,1970-09-27,http://ufcstats.com/fighter-details/1c7cce2f5c17160d
Igor Vovchanchyn,1973-08-06,http://ufcstats.com/fighter-details/7929be8290289a47
Ricco Rodriguez,1977-08-19,http://ufcstats.com/fighter-details/50cc91ce2982785d
Dennis Hallman,1975-12-02,http://ufcstats.com/fighter-details/8a8a84b743ae7699
Brian Ebersole,1980-11-27,http://ufcstats.com/fighter-details/32ba186f4b0e3267
Shonie Carter,1972-05-03,http://ufcstats.com/fighter-details/7b6e40a73b567072
Joe Doerksen,1977-10-09,http://ufcstats.com/fighter-details/dbaaf42313af90fa
Joe Jordan,1978-07-27,http://ufcstats.com/fighter-details/712c4db78b9373d1
Alistair Overeem,1980-05-17,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Joe Pearson,1978-03-28,http://ufcstats.com/fighter-details/122806b56775a53a
Dave Menne,1974-07-29,http://ufcstats.com/fighter-details/275cafc9de131c83
Matt Hughes,1973-10-13,http://ufcstats.com/fighter-details/621a6c59f88a44fe
Keiichiro Yamamiya,1972-07-12,http://ufcstats.com/fighter-details/6014d25e73b669c9
Rich Clementi,1976-03-31,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2
Dennis Reed,1969-09-11,http://ufcstats.com/fighter-details/4a35913bd9aa4161
Miguel Torres,1981-01-18,http://ufcstats.com/fighter-details/33b2f68ef95252e0
Joe Riggs,1982-09-23,http://ufcstats.com/fighter-details/d512d9f204059f57
