Nome,Height,Altura_cm,Weight,Reach,Stance
Travis Fulton,"6' 0""",182.9,240 lbs.,71.55387673956263,Orthodox
Dan Severn,"6' 2""",188.0,250 lbs.,71.55387673956263,Southpaw
Jeremy Horn,"6' 1""",185.4,185 lbs.,74.0,Orthodox
Travis Wiuff,"6' 3""",190.5,205 lbs.,71.55387673956263,Orthodox
Luis Santos,"6' 1""",185.4,170 lbs.,71.55387673956263,Southpaw
Aleksei Oleinik,"6' 2""",188.0,240 lbs.,80.0,Orthodox
Ikuhisa Minowa,"5' 9""",175.3,181 lbs.,71.55387673956263,Orthodox
Jeff Monson,"5' 9""",175.3,247 lbs.,74.0,Orthodox
Yuki Kondo,"5' 11""",180.3,183 lbs.,71.55387673956263,Southpaw
Adrian Serrano,"5' 8""",172.7,170 lbs.,71.55387673956263,
Alexander Shlemenko,"5' 11""",180.3,185 lbs.,71.55387673956263,
Shannon Ritch,"5' 9""",175.3,190 lbs.,71.55387673956263,Orthodox
Igor Vovchanchyn,"5' 8""",172.7,205 lbs.,71.55387673956263,Orthodox
Ricco Rodriguez,"6' 4""",193.0,265 lbs.,71.55387673956263,Orthodox
Dennis Hallman,"5' 9""",175.3,155 lbs.,72.0,Orthodox
Brian Ebersole,"6' 0""",182.9,170 lbs.,73.0,Southpaw
Shonie Carter,"5' 10""",177.8,170 lbs.,71.55387673956263,Southpaw
Joe Doerksen,"6' 0""",182.9,185 lbs.,75.0,Orthodox
Joe Jordan,"5' 6""",167.6,155 lbs.,71.55387673956263,Orthodox
Alistair Overeem,"6' 4""",193.0,265 lbs.,80.0,Orthodox
Joe Pearson,"5' 10""",177.8,145 lbs.,71.55387673956263,Orthodox
Dave Menne,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Matt Hughes,"5' 9""",175.3,170 lbs.,73.0,Switch
Keiichiro Yamamiya,"5' 11""",180.3,185 lbs.,71.55387673956263,Southpaw
Rich Clementi,"5' 9""",175.3,155 lbs.,72.0,Southpaw
Dennis Reed,,,205 lbs.,71.55387673956263,Orthodox
Miguel Torres,"5' 9""",175.3,135 lbs.,76.0,Orthodox
Joe Riggs,"6' 0""",182.9,185 lbs.,70.0,Southpaw
Tyrone Roberts,"5' 9""",175.3,185 lbs.,71.55387673956263,Orthodox
Gegard Mousasi,"6' 2""",188.0,185 lbs.,76.0,Orthodox
Yves Edwards,"5' 9""",175.3,155 lbs.,73.0,Southpaw
Drew Fickett,"5' 10""",177.8,155 lbs.,70.0,Orthodox
Alonzo Martinez,"5' 10""",177.8,155 lbs.,71.55387673956263,
Brock Larson,"5' 11""",180.3,170 lbs.,71.0,Southpaw
Satoru Kitaoka,"5' 6""",167.6,154 lbs.,71.55387673956263,
Shayilan Nuerdanbieke,"5' 8""",172.7,145 lbs.,69.0,Orthodox
Shinya Aoki,"5' 11""",180.3,154 lbs.,71.55387673956263,Southpaw
Daniel Weichel,"5' 10""",177.8,145 lbs.,70.0,
Gilbert Yvel,"6' 2""",188.0,225 lbs.,77.0,Orthodox
Paul Daley,"5' 9""",175.3,170 lbs.,76.0,Orthodox
Alexander Volkov,"6' 7""",200.7,261 lbs.,80.0,Orthodox
Ben Rothwell,"6' 4""",193.0,265 lbs.,78.0,Orthodox
Geronimo dos Santos,"6' 3""",190.5,264 lbs.,71.55387673956263,Orthodox
Masakatsu Funaki,"6' 0""",182.9,185 lbs.,71.55387673956263,Southpaw
Jorge Patino,"5' 8""",172.7,170 lbs.,71.55387673956263,Orthodox
Clay Guida,"5' 7""",170.2,155 lbs.,70.0,Orthodox
Anthony Smith,"6' 4""",193.0,205 lbs.,76.0,Orthodox
Jim Miller,"5' 8""",172.7,155 lbs.,71.0,Southpaw
Andre Santos,"6' 0""",182.9,170 lbs.,71.55387673956263,
Joilton Lutterbach,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Edwin DeWees,"6' 1""",185.4,185 lbs.,71.55387673956263,Orthodox
Hayato Sakurai,"5' 7""",170.2,168 lbs.,71.55387673956263,Orthodox
Nick Thompson,"6' 1""",185.4,170 lbs.,74.0,Orthodox
Jaime Jara,"6' 1""",185.4,205 lbs.,71.55387673956263,Southpaw
Gerald Meerschaert,"6' 1""",185.4,185 lbs.,77.0,Southpaw
Patricio Freire,"5' 6""",167.6,145 lbs.,67.0,Orthodox
Renato Sobral,"6' 1""",185.4,205 lbs.,75.0,Orthodox
Charles Oliveira,"5' 10""",177.8,155 lbs.,74.0,Orthodox
Jose Maria,"5' 5""",165.1,125 lbs.,71.55387673956263,Orthodox
Maiquel Falcao,"5' 11""",180.3,185 lbs.,71.55387673956263,Orthodox
Quinton Jackson,"6' 1""",185.4,205 lbs.,73.0,Orthodox
Tatsuya Kawajiri,"5' 7""",170.2,145 lbs.,69.0,Orthodox
Sean Sherk,"5' 6""",167.6,155 lbs.,67.0,Orthodox
Sean Wilson,"5' 8""",172.7,145 lbs.,71.55387673956263,
Nursulton Ruziboev,"6' 5""",195.6,185 lbs.,76.0,Orthodox
Josh Neer,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Bart Palaszewski,"5' 9""",175.3,145 lbs.,70.0,Orthodox
Donald Cerrone,"6' 1""",185.4,155 lbs.,73.0,Orthodox
Jinensibieke Asikeerbai,"5' 6""",167.6,155 lbs.,69.0,Orthodox
Jeff Curran,"5' 6""",167.6,135 lbs.,69.0,Orthodox
Fedor Emelianenko,"6' 0""",182.9,230 lbs.,74.0,Orthodox
Masakazu Imanari,"5' 4""",162.6,139 lbs.,71.55387673956263,Southpaw
Kyoji Horiguchi,"5' 4""",162.6,125 lbs.,63.0,Orthodox
Bobby Hoffman,"6' 2""",188.0,245 lbs.,71.55387673956263,Orthodox
Harris Sarmiento,"5' 9""",175.3,155 lbs.,71.55387673956263,Orthodox
Dion Staring,"6' 1""",185.4,235 lbs.,71.55387673956263,Orthodox
Jorge Masvidal,"5' 11""",180.3,170 lbs.,74.0,Orthodox
Akihiro Gono,"5' 7""",170.2,170 lbs.,68.0,Switch
Denis Kang,"5' 11""",180.3,185 lbs.,77.0,Orthodox
Urijah Faber,"5' 6""",167.6,135 lbs.,67.0,Orthodox
Takanori Gomi,"5' 7""",170.2,155 lbs.,70.0,Southpaw
Josh Barnett,"6' 3""",190.5,250 lbs.,78.0,Orthodox
Ronys Torres,"5' 7""",170.2,155 lbs.,71.55387673956263,Orthodox
Yoshiro Maeda,"5' 7""",170.2,139 lbs.,68.0,Southpaw
Nate Marquardt,"6' 0""",182.9,185 lbs.,74.0,Orthodox
Alexander Sarnavskiy,"5' 11""",180.3,155 lbs.,71.55387673956263,
Mirko Filipovic,"6' 2""",188.0,230 lbs.,73.0,Southpaw
John Gunderson,"5' 9""",175.3,155 lbs.,69.0,Orthodox
Wanderlei Silva,"5' 11""",180.3,205 lbs.,74.0,Orthodox
Paul Buentello,"6' 2""",188.0,245 lbs.,77.0,Orthodox
John Alessio,"5' 10""",177.8,155 lbs.,72.0,Orthodox
Iuri Alcantara,"5' 9""",175.3,135 lbs.,71.0,Southpaw
Andrei Semenov,"6' 0""",182.9,185 lbs.,71.55387673956263,Orthodox
Yushin Okami,"6' 2""",188.0,170 lbs.,75.0,Southpaw
Anderson Silva,"6' 2""",188.0,185 lbs.,77.0,Southpaw
King Green,"5' 10""",177.8,155 lbs.,71.0,Orthodox
Andrei Arlovski,"6' 3""",190.5,240 lbs.,77.0,Orthodox
Antonio Rodrigo Nogueira,"6' 3""",190.5,240 lbs.,77.0,Orthodox
Hector Lombard,"5' 9""",175.3,185 lbs.,71.0,Southpaw
Keita Nakamura,"5' 11""",180.3,170 lbs.,73.0,Southpaw
Hideo Tokoro,"5' 7""",170.2,135 lbs.,71.55387673956263,Orthodox
Pat Healy,"6' 0""",182.9,155 lbs.,72.0,Orthodox
Trevor Prangley,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Will Chope,"6' 4""",193.0,145 lbs.,71.55387673956263,Switch
Ding Meng,"6' 2""",188.0,170 lbs.,73.0,Orthodox
Naoyuki Kotani,"5' 8""",172.7,155 lbs.,66.0,Southpaw
Renan Barao,"5' 6""",167.6,145 lbs.,70.0,Orthodox
Ron Faircloth,"5' 9""",175.3,205 lbs.,71.55387673956263,Orthodox
Gleison Tibau,"5' 10""",177.8,155 lbs.,71.0,Southpaw
Stefan Struve,"6' 11""",210.8,265 lbs.,84.0,Orthodox
Julio Cesar Neves Jr.,"5' 8""",172.7,145 lbs.,71.55387673956263,
Chad Reiner,"5' 11""",180.3,170 lbs.,71.55387673956263,Orthodox
Caol Uno,"5' 7""",170.2,155 lbs.,70.0,Southpaw
Gleristone Santos,"5' 9""",175.3,145 lbs.,71.55387673956263,
Joe Stevenson,"5' 7""",170.2,145 lbs.,70.0,Orthodox
Sam Alvey,"6' 2""",188.0,185 lbs.,75.0,Southpaw
Anthony Ruiz,"6' 2""",188.0,205 lbs.,71.55387673956263,Orthodox
Jason DeLucia,"5' 11""",180.3,190 lbs.,71.55387673956263,Southpaw
Tim Means,"6' 2""",188.0,170 lbs.,75.0,Orthodox
Antony Rea,"6' 0""",182.9,205 lbs.,71.55387673956263,Orthodox
Glover Teixeira,"6' 2""",188.0,205 lbs.,76.0,Orthodox
Evan Tanner,"6' 0""",182.9,185 lbs.,74.0,Orthodox
Xavier Foupa-Pokam,"6' 1""",185.4,185 lbs.,71.55387673956263,Open Stance
Dan Henderson,"5' 11""",180.3,185 lbs.,74.0,Orthodox
Maxim Grishin,"6' 3""",190.5,205 lbs.,78.0,Orthodox
Rafael Dos Anjos,"5' 8""",172.7,170 lbs.,70.0,Southpaw
Shang Zhifa,"5' 7""",170.2,125 lbs.,63.0,Orthodox
Carlos Condit,"6' 2""",188.0,170 lbs.,75.0,Orthodox
Jiri Prochazka,"6' 3""",190.5,205 lbs.,80.0,Orthodox
Chris Curtis,"5' 10""",177.8,170 lbs.,75.0,Orthodox
Jose Aldo,"5' 7""",170.2,135 lbs.,70.0,Orthodox
Melvin Guillard,"5' 9""",175.3,155 lbs.,71.0,Orthodox
