Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Travis Fulton,253,53,10,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Dan Severn,101,19,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jeremy Horn,91,22,5,1.19,39.0,1.99,55%,1.83,38%,29%,1.1
Travis Wiuff,75,21,0,0.48,30.0,4.03,41%,4.84,57%,44%,1.2
Luis Santos,63,10,1,4.4,57.0,4.0,64%,0.0,0%,0%,0.0
Aleksei Oleinik,60,17,1,3.29,48.0,3.8,44%,1.82,46%,37%,1.9
Ikuhisa Minowa,60,42,8,0.88,40.0,1.66,49%,1.82,41%,5%,1.9
Jeff Monson,60,26,1,0.97,30.0,2.87,59%,1.06,12%,66%,0.7
Yuki Kondo,60,33,9,1.14,42.0,2.57,51%,0.76,41%,37%,0.5
Adrian Serrano,56,29,4,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Alexander Shlemenko,56,9,0,4.36,60.0,1.71,63%,0.0,0%,0%,0.0
Shannon Ritch,56,83,0,1.0,100.0,6.0,50%,0.0,0%,0%,0.0
Igor Vovchanchyn,55,10,0,1.59,49.0,0.97,63%,1.19,66%,50%,0.5
Ricco Rodriguez,53,25,0,1.85,51.0,1.15,61%,2.3,39%,40%,1.0
Dennis Hallman,53,20,2,1.12,44.0,1.96,43%,1.79,30%,25%,2.1
Brian Ebersole,51,18,1,2.32,49.0,2.14,56%,1.7,23%,61%,0.1
Shonie Carter,51,31,7,1.62,36.0,2.32,47%,0.75,66%,75%,0.0
Joe Doerksen,51,16,0,1.43,42.0,2.79,50%,2.02,33%,33%,2.3
Joe Jordan,49,14,2,1.85,25.0,4.27,59%,0.0,0%,66%,0.0
Alistair Overeem,47,19,0,3.67,64.0,2.44,57%,1.42,55%,73%,0.8
Joe Pearson,45,30,1,0.59,18.0,3.51,33%,0.0,0%,0%,4.4
Dave Menne,45,17,2,1.84,44.0,1.99,42%,0.46,50%,57%,2.5
Matt Hughes,45,9,0,2.14,53.0,1.36,53%,2.95,50%,35%,1.2
Keiichiro Yamamiya,45,35,10,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Rich Clementi,45,23,1,1.43,37.0,2.29,60%,1.72,42%,25%,1.1
Dennis Reed,45,62,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Miguel Torres,44,9,0,3.98,43.0,1.86,74%,0.0,0%,17%,1.6
Joe Riggs,44,17,0,2.41,51.0,1.69,57%,2.45,55%,62%,0.6
Tyrone Roberts,43,12,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Gegard Mousasi,42,6,2,3.75,50.0,1.21,68%,1.59,60%,59%,1.1
Yves Edwards,42,22,1,2.91,42.0,2.34,66%,0.76,53%,69%,0.7
Drew Fickett,42,21,0,2.33,41.0,2.29,57%,1.3,35%,30%,2.2
Alonzo Martinez,42,20,1,3.07,27.0,7.33,52%,0.0,0%,0%,0.0
Brock Larson,42,10,0,1.39,46.0,1.5,55%,2.67,34%,43%,2.0
Satoru Kitaoka,40,14,9,0.68,33.0,2.15,45%,0.62,10%,27%,2.1
Shayilan Nuerdanbieke,39,12,0,1.95,45.0,2.64,50%,3.3,35%,28%,0.2
Shinya Aoki,39,7,0,0.97,58.0,1.25,58%,2.54,41%,60%,4.0
Daniel Weichel,39,9,0,5.71,42.0,4.05,61%,0.84,50%,83%,0.0
Gilbert Yvel,39,16,1,1.05,47.0,1.78,50%,0.0,0%,25%,1.0
Paul Daley,39,15,2,3.14,47.0,2.37,60%,0.91,40%,64%,0.0
Alexander Volkov,39,11,0,4.78,57.0,2.86,53%,0.57,66%,68%,0.2
Ben Rothwell,39,14,0,3.71,42.0,4.63,47%,0.68,34%,70%,0.4
Geronimo dos Santos,39,19,0,1.09,33.0,8.73,41%,0.0,0%,33%,0.0
Masakatsu Funaki,39,13,2,1.82,68.0,2.92,35%,0.0,0%,0%,5.5
Jorge Patino,38,19,2,1.33,30.0,3.14,53%,0.54,25%,50%,0.0
Clay Guida,38,22,0,2.63,33.0,3.0,61%,3.1,35%,66%,0.6
Anthony Smith,38,22,0,3.19,49.0,5.04,44%,0.44,22%,50%,0.6
Jim Miller,38,19,0,2.92,42.0,3.44,56%,1.5,45%,48%,1.7
