fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Travis Fulton,253,53,10,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,1,1,0,0,0.0,0.0,0.499999750000125,0.0,0.0,0.0,0.0
Dan Severn,101,19,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,9,4,0,5,0.0,0.0,0.6923076390532585,0.0,0.5555554938271674,0.0,0.0
Jeremy Horn,91,22,5,1.19,39.0,1.99,55%,1.83,38%,29%,1.1,6,7,1,4,0.38,0.29,0.4615384260355057,0.16666663888889352,0.6666665555555741,0.569377990430622,0.2698
Travis Wiuff,75,21,0,0.48,30.0,4.03,41%,4.84,57%,44%,1.2,0,2,0,0,0.57,0.44,0.0,0.0,0.0,0.1162227602905569,0.3192
Aleksei Oleinik,60,17,1,3.29,48.0,3.8,44%,1.82,46%,37%,1.9,9,8,1,7,0.46,0.37,0.5294117335640156,0.11111109876543349,0.7777776913580343,0.8435897435897436,0.2898
Ikuhisa Minowa,60,42,8,0.88,40.0,1.66,49%,1.82,41%,5%,1.9,1,0,0,0,0.41,0.05,0.9999990000010001,0.0,0.0,0.5,0.38949999999999996
Jeff Monson,60,26,1,0.97,30.0,2.87,59%,1.06,12%,66%,0.7,4,3,1,1,0.12,0.66,0.57142848979593,0.24999993750001562,0.24999993750001562,0.32659932659932656,0.040799999999999996
Yuki Kondo,60,33,9,1.14,42.0,2.57,51%,0.76,41%,37%,0.5,1,2,1,0,0.41,0.37,0.33333322222225925,0.9999990000010001,0.0,0.42696629213483145,0.2583
Adrian Serrano,56,29,4,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricco Rodriguez,53,25,0,1.85,51.0,1.15,61%,2.3,39%,40%,1.0,5,2,5,0,0.39,0.4,0.7142856122449125,0.99999980000004,0.0,1.48,0.23399999999999999
Dennis Hallman,53,20,2,1.12,44.0,1.96,43%,1.79,30%,25%,2.1,4,5,1,2,0.3,0.25,0.44444439506173394,0.24999993750001562,0.49999987500003124,0.5436893203883496,0.22499999999999998
