Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Tom Aaron,,155 lbs.,,,1978-07-13,5,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,1983-07-03,4,6,0,3.29,38%,4.41,57%,0.0,0%,77%,0.0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,180.3
Nariman Abbasov,"5' 8""",155 lbs.,"66.0""",Orthodox,1994-02-01,28,4,0,3.0,20%,5.67,46%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/59a9d6dac61c2540,172.7
Darion Abbey,"6' 2""",265 lbs.,"80.0""",Orthodox,1993-02-25,9,5,0,8.44,50%,14.06,28%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4961467134abd8be,188.0
David Abbott,"6' 0""",265 lbs.,,Switch,1965-04-26,10,15,0,1.35,30%,3.55,38%,1.07,33%,66%,0.0,http://ufcstats.com/fighter-details/b361180739bed4b0,182.9
Hamdy Abdelwahab,"6' 2""",265 lbs.,"72.0""",Southpaw,1993-01-22,7,1,0,4.27,55%,3.67,51%,3.25,65%,100%,0.0,http://ufcstats.com/fighter-details/3329d692aea4dc28,188.0
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80.0""",Orthodox,1997-10-07,9,0,1,4.18,48%,3.46,51%,0.94,50%,83%,0.5,http://ufcstats.com/fighter-details/841695e02c99a521,188.0
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76.0""",Orthodox,1981-09-02,20,8,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,190.5
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,1970-02-09,8,15,3,1.71,36%,3.11,63%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de,167.6
Daichi Abe,"5' 11""",170 lbs.,"71.0""",Orthodox,1991-11-27,6,2,0,3.8,33%,4.49,56%,0.33,50%,0%,0.0,http://ufcstats.com/fighter-details/5140122c3eecd307,180.3
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,1978-06-30,10,4,0,2.8,55%,3.15,48%,3.47,57%,50%,1.3,http://ufcstats.com/fighter-details/c9f6385af6df66d7,180.3
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,1984-04-27,5,1,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,180.3
Klidson Abreu,"6' 0""",205 lbs.,"74.0""",Orthodox,1992-12-24,15,4,0,2.05,40%,2.9,55%,0.64,20%,80%,0.0,http://ufcstats.com/fighter-details/7279654c7674cd24,182.9
Cyborg Abreu,,,,,1980-12-20,0,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f689bd7bbd14b392,
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,1977-12-27,30,18,0,3.52,36%,2.85,62%,0.33,20%,81%,0.0,http://ufcstats.com/fighter-details/1c5879330d42255f,172.7
John Adajar,"5' 9""",170 lbs.,"75.0""",Orthodox,1991-06-22,6,2,0,3.9,52%,6.28,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/989b85f6540c86b1,175.3
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,8,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2620f3eb21c79614,182.9
Juan Adams,"6' 5""",265 lbs.,"80.0""",Orthodox,1992-01-16,5,3,0,7.09,55%,4.06,34%,0.91,66%,57%,0.0,http://ufcstats.com/fighter-details/83b00f7597e5ac83,195.6
Anthony Adams,"6' 1""",185 lbs.,"76.0""",Orthodox,1988-01-13,8,2,0,3.17,41%,5.93,44%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a77633a989013265,185.4
Zarrukh Adashev,"5' 5""",125 lbs.,"65.0""",Southpaw,1992-07-29,4,4,0,3.65,40%,3.04,64%,0.0,0%,100%,0.5,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,165.1
Israel Adesanya,"6' 4""",185 lbs.,"80.0""",Switch,1989-07-22,24,5,0,4.02,48%,3.2,55%,0.05,11%,76%,0.1,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,193.0
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,1965-04-26,7,20,2,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/0e9869d712e81f8f,190.5
Mohamed Ado,"5' 11""",170 lbs.,"76.0""",Switch,2000-05-03,5,1,0,1.66,83%,0.33,75%,4.97,50%,50%,5.0,http://ufcstats.com/fighter-details/7a846fcbf182a7c8,180.3
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,1979-01-13,24,6,0,0.69,11%,4.56,42%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,172.7
Mariya Agapova,"5' 6""",125 lbs.,"68.0""",Southpaw,1997-04-07,10,5,0,4.43,54%,3.62,52%,0.55,66%,45%,0.8,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,167.6
